Note Number,Description
1,"Belongs to kat and not drachma; there is not a single drachma weight so finely formed on the domed type which is characteristic of the kat by its purity of outline."
2,"Is of a type much commoner in kats than in drachmae; also the peculiar syenite, white felspar in green-black hornblende, is only known in three other kats (Nos. 45, 100, and 156), and in one of 80-grain standard (No. 481.)"
3,"Is a kat for the same reasons as No. 1."
4,"More of the kat than of the drachma type."
5,"As 1."
6,"A peculiar turned piece of bronze, never attached to anything, nor pierced; probably a weight."
7,"might be drachma weights by their form; but are beyond a likely range of drachma."
8,"might be drachma weights by their form; but are beyond a likely range of drachma."
11,"A peculiar limestone, brownish-white, with fine grey veining: only one other of this colouring and form, No. 208, but not from exactly the same piece of stone. I have a quarter kat from Syria (?) of the same stone, but pyramidal in form."
13,"From a Ptolemaic house about the IIIrd cent. B.C., on the east side of the excavated part of the town (find 93). Burnt. With Nos. 65, 281, and 475."
19,"Hard grey limestone."
23,"Nummulitic limestone, very fossiliferous. Weathered surface."
24,"Hard dark brown-grey limestone with holes, and a thin crust of white decomposition (?)"
35,"A peculiar black bronze, which throws off the oxide very freely, having a polished black face below it; only found in Nos. 94 and 119, both of this form, and perhaps No. 107."
42,"Hammer dressed, without any polish; irregular below."
44,"Soft white limestone, flaky."
51,"A fine weight, polished, but chipped."
52,"Soft white limestone; from Kom Afrin."
58,"A natural pebble of hæmatite, ground down on the end of the major axis; light brown crust outside."
59,"A splendid weight of very unusual form for a kat; only No. 44 like it."
61,"The only weight with a name on it (see pl. xxii., fig. 100); strange to say, it has been broken off below, and ground down again to a flat bottom, rather roughly, and apparently adjusted to 4 kats. It was probably valued for the sake of the inscription, and therefore readjusted, after being accidentally broken. What its original weight was, is not clear; it is not likely that so little as a fifth of the whole was removed, looking to the traces of fracture and the present shallowness of the weight; yet it is not likely to have lost more than half its bulk, as it would have then been exceptionally high; hence it can hardly have been either 5 or 10 kats. It is a misfortune that this has been readjusted, as it is the only weight which shows its original age—that of Aahmes."
62,"Very compact hard white limestone; fine work."
63,"Merely a piece of a natural sheet of alabaster, trimmed round."
65,"Same house as No. 13. Burnt."
71,"From a well filled with burnt earth in the middle of the S. part of the town. Probably about VIth cent. B.C. Burnt. (See No. 83.)"
73,"Dark grey hard limestone, white vein on one side."
77,"Grey-green chatoyant pyroxene. Ptolemaic house W.N.W. of Great Temenos."
78,"Found with Nos. 161 and 165, at level 400; middle of Vth cent. B.C."
83,"Found with No. 71."
88,"White limestone, with brown patch; hard."
90,"Rough chipped around the sides."
95,"See No. 35."
97,"Minute felspathic crystals in a grey base, dense."
99,"Iron-black hæmatite, highly polished."
101,"Pale green crystals in a dark green base; common in Roman times."
107,"Greyish bronze; broken in two, and part lost."
111,"Hard, white, sub-crystalline limestone; same as Nos. 204 and 253."
115,"Dark grey compact slaty limestone."
119,"See No. 35; more carbonated than 35 and 95, not cleaning so smoothly."
122,"Hard, close white limestone."
124,"A rare form; I have a similar uten in diorite (bought in Cairo, 1884), of 148.07 unit, closely the same as this 147.8."
126,"Hard white Mokattam limestone."
132,"Very fine work, quite uninjured; green-grey syenite, polished."
138,"Dark brown stone, apparently changed by contact with iron rust, and split on the surface."
143,"Very fine work, of the purest domed type of fig. 33; blue-grey syenite, polished."
152,"Similar to No. 42, but better worked."
156,"With reference to this of black and white syenite (see No. 2), a weight similar in form, colour, and high standard (150.6) should be noted in Brit. Mus., with cartouche of Aahmes (XXVIth Dyn.) on the top."
159,"This weight with the archaic Greek Σ on the top (Pl. xxii, 95), seems as if it must be attributed to the Assyrian shekel, although it is of lower standard than any other example; the letter, however, points to Sirios. If it had not been for that, it would have been attributable to the very erratic Phœnician shekel, but it would then need H for Hemi. The form of the letter points to the VIth cent. B.C."
161,"See No. 78."
162,"An unusual form, more like a Byzantine solidus, but there is no letter on it, which is always found on solidi."
